,scheduled_departure_time,scheduled_arrival_time,real_departure_time,real_arrival_time,origin_point,end_point,track_points,track_velocities
32,905.0,1017.0,894.0,1012.0,"(37.746899, 112.627998, 779.0)","(31.1434, 121.805, 5.0)","[(37.746899, 112.627998, 779.0), (36.6934, 114.2639, 4541.666666666666), (36.0482, 115.2274, 8004.333333333333), (33.8609, 114.5333, 8871.037037037036), (32.6671, 117.9147, 8361.2), (31.0934, 121.4718, 3513.0), (31.1434, 121.805, 5.0)]","[299.8909185187285, 731.3879732224619, 963.8494406436463, 947.455237302022, 779.5067129278323, 364.4038615657229]"
33,905.0,1017.0,912.0,1024.0,"(26.541466, 106.803331, 1127.0)","(30.23609, 120.428865, 7.0)","[(26.541466, 106.803331, 1127.0), (27.4187, 109.5665, 4838.375), (28.0179, 111.5828, 8249.75), (28.0547, 113.8049, 8870.0), (28.1903, 115.396, 8870.0), (29.1004, 117.687, 8091.545454545454), (29.8529, 119.4956, 4199.272727272727), (30.23609, 120.428865, 7.0)]","[406.9267602837916, 1017.5503298324387, 1270.9595291543812, 1314.9098253231107, 1250.875926409603, 976.1523168073431, 379.85025611511696]"
34,905.0,1018.0,889.0,1003.0,"(43.996201, 125.684998, 208.0)","(36.857201, 117.216003, 22.0)","[(43.996201, 125.684998, 208.0), (42.5816, 123.7918, 4630.666666666667), (41.7633, 122.7529, 9268.666666666668), (39.5724, 122.1082, 9792.0), (38.2484, 119.6318, 9265.888888888889), (37.6255, 118.5289, 5057.0), (36.857201, 117.216003, 22.0)]","[410.35292009849263, 1005.0878478706181, 1136.3748306034183, 890.5225253281252, 616.604284852839, 267.72166235600673]"
35,905.0,1019.0,979.0,1094.0,"(30.23609, 120.428865, 7.0)","(22.639299, 113.810997, -1.0)","[(30.23609, 120.428865, 7.0), (29.2474, 119.5074, 4753.615384615385), (28.5708, 119.493, 9136.0), (26.2221, 118.9513, 9174.0), (24.3483, 117.7528, 9167.0), (22.9342, 115.8113, 9037.0), (22.7349, 114.2735, 2461.0), (22.639299, 113.810997, -1.0)]","[283.8990069821568, 696.3846485517821, 831.1541514283031, 830.270884529867, 831.1541514283031, 696.8975828660267, 277.345806108913]"
36,905.0,1020.0,900.0,1012.0,"(40.849658, 111.824598, 1076.0)","(31.735032, 118.865949, 27.0)","[(40.849658, 111.824598, 1076.0), (39.367, 112.461, 5651.866666666667), (37.1846, 114.4531, 7016.4), (34.3862, 113.7819, 7498.0), (33.027, 116.193, 7099.611111111111), (32.3334, 117.6575, 3912.5), (31.735032, 118.865949, 27.0)]","[477.49090921134814, 995.7166724475696, 1024.6885204973457, 944.1785276733492, 762.8561246627809, 325.14035425055596]"
37,905.0,1028.0,905.0,1031.0,"(39.509945, 116.41092, 30.0)","(28.189199, 113.220001, 66.0)","[(39.509945, 116.41092, 30.0), (35.2974, 115.1184, 3624.24), (31.7528, 114.1341, 7055.74), (30.8007, 114.2848, 7193.0), (30.4636, 114.147, 7193.0), (30.0329, 114.048, 7193.0), (28.1605, 113.463, 1966.0), (28.189199, 113.220001, 66.0)]","[400.15996459805706, 946.2987830946848, 1105.235342384977, 1143.7809893734197, 1171.9277251298126, 930.121677040801, 342.8784173960587]"
38,905.0,1028.0,892.0,1020.0,"(34.571302, 118.873143, 15.0)","(45.623402, 126.25, 136.0)","[(34.571302, 118.873143, 15.0), (36.923, 120.2321, 4739.0), (39.1093, 121.5816, 9163.0), (40.3702, 123.512, 9479.0), (41.7801, 124.2784, 9479.0), (43.9278, 125.3468, 9479.0), (45.6183, 126.2583, 3597.0), (45.623402, 126.25, 136.0)]","[349.72527084751977, 878.7776490514871, 1030.9872018089711, 968.3504990520089, 867.4968593917059, 641.5916202554318, 240.510436310731]"
39,905.0,1031.0,890.0,1022.0,"(36.528295, 102.040157, 2175.0)","(25.110313, 102.936743, 2093.0)","[(36.528295, 102.040157, 2175.0), (34.434, 102.2223, 6216.363636363636), (32.8882, 102.3491, 10331.863636363636), (32.156, 104.618, 10363.0), (31.0425, 104.6298, 10097.0), (30.0941, 104.1378, 10058.0), (26.911, 103.213, 6934.333333333333), (25.110313, 102.936743, 2093.0)]","[349.2612594788295, 860.5404784037441, 1001.6775089183927, 938.0647787842053, 930.94281191708, 920.7685735354726, 437.49225040911955]"
40,905.0,1031.0,919.0,1048.0,"(22.639299, 113.810997, -1.0)","(30.31252, 104.441284, 438.0)","[(22.639299, 113.810997, -1.0), (23.2375, 113.5851, 5829.0), (24.3113, 112.8711, 9144.0), (25.2995, 110.6791, 9784.0), (27.1323, 108.5079, 9784.0), (28.4249, 105.0934, 9258.0), (29.8803, 104.5484, 2294.0), (30.31252, 104.441284, 438.0)]","[319.8755107046082, 712.705085254127, 751.6591430129621, 709.8477691441121, 718.995291942361, 608.4849940471117, 240.50790278541967]"
41,905.0,1036.0,907.0,1029.0,"(30.31252, 104.441284, 438.0)","(24.54400063, 118.1279984, 12.0)","[(30.31252, 104.441284, 438.0), (28.7819, 105.2995, 8870.0), (27.0935, 109.614, 10008.125), (24.5525, 112.0961, 10706.0), (24.2959, 113.829, 10691.0), (24.1491, 115.4351, 10150.0), (24.0787, 116.9813, 4625.0), (24.54400063, 118.1279984, 12.0)]","[481.0290252997892, 987.5508679063876, 1029.7162028611097, 1041.225618269669, 1031.7599308308538, 925.0558178842101, 411.32714506851386]"
42,905.0,1039.0,941.0,1051.0,"(45.623402, 126.25, 136.0)","(39.12440109, 117.3460007, 6.0)","[(45.623402, 126.25, 136.0), (45.4733, 126.0733, 1897.0), (45.078, 125.5193, 6317.0), (42.9981, 122.3907, 6317.0), (40.7949, 119.4146, 6317.0), (39.7773, 118.1372, 3006.6363636363635), (39.12440109, 117.3460007, 6.0)]","[288.4372205951559, 672.0957031175587, 721.192102731226, 626.8457934534492, 559.7550846336968, 270.44291138907073]"
43,905.0,1042.0,917.0,1053.0,"(23.392401, 113.299004, 8.0)","(36.857201, 117.216003, 22.0)","[(23.392401, 113.299004, 8.0), (23.9295, 114.5577, 7102.0), (25.5552, 115.1114, 9061.285714285714), (27.9085, 115.6755, 9479.0), (30.1298, 116.416, 9645.363636363636), (34.1085, 117.2938, 9286.0), (35.6222, 117.2516, 4804.0), (36.857201, 117.216003, 22.0)]","[494.71769485148184, 1014.6760884198761, 1108.908030296349, 1144.8823998817663, 889.8904815693851, 586.2974906565227, 252.33977224094926]"
44,905.0,1043.0,893.0,1031.0,"(23.392401, 113.299004, 8.0)","(37.746899, 112.627998, 779.0)","[(23.392401, 113.299004, 8.0), (25.3471, 113.2181, 4893.5), (26.3625, 113.4447, 9479.0), (28.2908, 113.4668, 9479.0), (31.0628, 114.1698, 9479.0), (34.6881, 113.9394, 9106.0), (35.7053, 113.6264, 6614.0), (37.746899, 112.627998, 779.0)]","[364.0786738430083, 893.1785665023792, 1069.2226997491455, 1123.3351887711267, 1102.2914430403562, 917.9081471136058, 398.82908575460164]"
45,905.0,1044.0,917.0,1048.0,"(22.639299, 113.810997, -1.0)","(36.857201, 117.216003, 22.0)","[(22.639299, 113.810997, -1.0), (23.173, 114.4582, 5822.0), (24.9946, 115.1331, 10089.0), (27.7081, 115.7318, 10089.0), (30.0646, 117.229, 9784.0), (33.8395, 117.222, 10089.0), (35.5981, 117.2186, 5205.5), (36.857201, 117.216003, 22.0)]","[506.7710358285121, 1081.3856586036404, 1165.6761757191332, 1189.3186378368935, 954.3528469128843, 613.1255283192629, 257.02976629926707]"
46,905.0,1049.0,918.0,1063.0,"(34.447102, 108.751999, 486.0)","(22.006399, 113.375999, 0.0)","[(34.447102, 108.751999, 486.0), (33.2777, 108.7634, 7389.538461538462), (31.8041, 107.5943, 10013.0), (30.2444, 107.1887, 10394.0), (27.9378, 108.3739, 10258.645161290322), (24.2443, 111.1059, 10089.0), (22.6531, 113.318, 3597.0), (22.006399, 113.375999, 0.0)]","[350.64197854577003, 711.229932874815, 730.5453061350883, 777.280033458143, 850.6290308495003, 766.9521077599954, 323.645758562595]"
47,905.0,1057.0,906.0,1053.0,"(31.1434, 121.805, 5.0)","(25.219828, 110.039553, 167.0)","[(31.1434, 121.805, 5.0), (30.0601, 119.3759, 4596.451612903226), (28.9874, 117.4284, 9174.0), (28.465, 115.5836, 8458.0), (28.1904, 113.4305, 7193.0), (27.0836, 111.3619, 9174.0), (25.957, 110.5571, 4820.5), (25.219828, 110.039553, 167.0)]","[319.24202256338367, 752.2192223337064, 880.6315927531989, 903.6957535157826, 829.4518931238051, 637.5425676069882, 264.13203501608956]"
48,905.0,1057.0,925.0,1080.0,"(31.198104, 121.33426, 2.0)","(29.712254, 106.651895, 417.0)","[(31.198104, 121.33426, 2.0), (30.8066, 115.4171, 4634.837209302325), (30.7994, 115.461, 9174.0), (30.6621, 114.4374, 9174.0), (30.4282, 112.2935, 9174.0), (30.1041, 109.4579, 9174.0), (29.9071, 107.9581, 4945.5), (29.712254, 106.651895, 417.0)]","[415.27768667181493, 998.7846192176905, 1169.8953808080269, 1100.5554159879143, 895.7602651043273, 685.2020827881882, 303.60878540962403]"
49,905.0,1057.0,909.0,1063.0,"(31.1434, 121.805, 5.0)","(45.623402, 126.25, 136.0)","[(31.1434, 121.805, 5.0), (35.5214, 122.9571, 4700.875), (38.9048, 123.9498, 9096.75), (40.3991, 123.6582, 9472.0), (41.9984, 124.4029, 9476.052631578948), (44.1971, 126.0563, 9068.0), (45.2161, 126.2207, 4061.0), (45.623402, 126.25, 136.0)]","[384.3267784762008, 949.3091397208123, 1125.7584896920407, 1098.4923039493567, 1034.5533435095565, 817.5801498859717, 320.74298187834273]"
50,905.0,1058.0,912.0,1074.0,"(36.857201, 117.216003, 22.0)","(23.392401, 113.299004, 8.0)","[(36.857201, 117.216003, 22.0), (33.394, 116.0954, 4682.476190476191), (30.7401, 115.2975, 9042.952380952382), (28.8984, 115.8078, 9784.0), (27.3801, 115.4003, 9784.0), (24.8278, 114.0281, 9792.0), (23.2236, 113.3689, 1433.0), (23.392401, 113.299004, 8.0)]","[315.4457202506827, 748.8417472188994, 1004.3535583914788, 1074.0234265564281, 936.9681795258374, 722.1634942145517, 288.2612098218807]"
51,905.0,1062.0,916.0,1084.0,"(31.1434, 121.805, 5.0)","(26.541466, 106.803331, 1127.0)","[(31.1434, 121.805, 5.0), (30.3115, 118.5112, 4739.5), (29.0009, 117.3657, 9174.0), (28.431, 115.3042, 9174.0), (28.1132, 112.8007, 9174.0), (27.1843, 108.8342, 9174.0), (26.7671, 107.5075, 5300.5), (26.541466, 106.803331, 1127.0)]","[334.72367716643964, 779.3083894208291, 899.0247506424969, 912.1651854874543, 772.4215394141197, 555.8434972225273, 241.14710490775454]"
